IPs,milliseconds,PUTs,actualIPs,actualPUTs
8,467939,554,8,54
17,221015,632,15,94
37,554943,949,33,164
6,164214,138,4,9
22,711632,326,18,64
22,2432793,1708,20,113
8,603581,475,4,23
15,1768549,1067,13,174
3,334330,274,3,13
3,646788,651,3,101
11,862971,1557,11,293
6,11838,23,2,5
7,41291,91,2,6
7,32653,56,2,2
7,202466,483,4,55
13,177394,481,8,39
9,4716,20,3,7
2,106,2,1,1
12,207221,351,9,30
10,217701,418,4,32
8,77926,149,2,6
8,247982,519,3,65
7,98602,152,2,6
14,520137,962,11,231
7,14021,29,4,11
2,1527,3,2,2
3,4389,4,1,2
13,404433,544,8,65
14,156915,396,9,53
20,114787,364,11,58
24,128317,512,13,56
18,24052,93,8,12
13,4725,20,4,5
30,183714,498,16,61
9,36441,45,1,1
20,293685,538,11,64
1,694,3,1,2
6,11347,19,4,5
30,821653,1100,19,118
11,51016,73,2,6
6,27536,26,1,1
20,415521,633,10,57
14,172432,353,7,21
1,5,1,0,0
14,120056,338,4,200
4,2465,8,2,6
3,2939,9,2,6
7,5460,19,3,3
13,53909,228,7,48
8,8925,46,3,17
7,8625,48,2,17
5,2559,12,1,4
2,481,2,1,1
12,93559,297,4,58
12,90734,167,5,47
3,1774,6,2,2
4,30249,72,2,12
1,485,2,1,1
10,69319,202,6,115
3,12771,33,1,16
2,2466,7,1,5
5,19099,41,4,10
11,58995,160,6,21
13,118579,229,5,16
15,175425,376,8,71
11,71141,126,4,10
16,263856,568,8,45
10,25199,52,4,8
14,465425,735,5,43
17,359613,748,9,39
16,1137951,1222,8,60
21,2071971,1449,13,85
13,956980,512,6,29
16,2410896,1178,12,105
8,709215,324,3,10
7,566140,414,4,43
6,417571,199,4,14
16,3363576,896,13,70
9,1462984,301,6,21
11,2038129,417,9,59
9,1769847,256,7,19
