IPs,milliseconds,PUTs,actualIPs,actualPUTs
4,11499895,19,4,11
4,1320580,657,4,19
7,714036,874,7,75
7,1032804,1046,6,134
4,1539296,2083,4,35
3,38128,40,2,4
11,1460932,1409,10,59
6,1867534,1244,4,350
3,792419,772,2,7
6,1287615,2231,5,45
6,894569,814,5,18
7,1528008,1274,3,16
8,433268,343,4,19
8,1477969,1444,4,18
5,878147,751,2,3
8,2981237,1843,6,41
11,5246851,4416,8,110
6,8015778,456,5,45
5,2988667,2391,3,199
2,90870,88,2,2
2,1169265,1080,1,1
2,2472495,1553,1,178
6,577842,595,6,52
8,88577,355,4,158
9,155908,413,7,21
5,3038,7,2,2
12,1177858,3104,9,201
6,213458,338,3,18
8,530158,617,4,11
3,273465,331,1,4
3,552001,136,2,2
5,1663816,603,3,181
3,51271,53,1,2
6,1923454,780,5,86
5,4348082,901,4,90
4,2681719,119,2,23
