IPs,milliseconds,PUTs,actualIPs,actualPUTs
7,796214,1318,7,349
1,14946,13,1,3
3,392619,646,2,252
5,935161,1246,5,362
3,118146,209,2,47
5,164676,307,4,19
3,39020,82,3,58
4,60898,111,3,30
5,176233,367,4,305
11,1482769,2571,8,112
9,580179,683,8,31
5,215906,355,5,185
11,533752,1171,10,108
13,1949036,1465,12,87
9,419047,406,6,31
16,923154,1240,13,86
13,492957,507,10,85
11,876376,240,6,48
10,430789,251,10,26
13,439069,887,10,67
16,274041,667,14,86
16,919867,869,9,83
12,293317,500,6,48
11,155487,266,5,38
9,269397,379,5,55
10,61887,141,5,24
13,866921,1413,9,72
9,160025,372,4,37
12,1714300,1926,7,78
14,2405601,1197,12,84
9,441372,431,4,32
7,802728,763,2,38
7,1274237,1500,5,32
5,811867,453,3,26
14,3716587,523,12,67
5,1315168,1076,4,41
13,4606164,1168,12,67
11,4654450,573,9,99
3,412855,314,3,41
6,3217229,568,6,75
