IPs,milliseconds,PUTs,actualIPs,actualPUTs
12,397799,930,12,211
6,40226,81,4,13
6,39977,93,4,21
9,218948,589,5,40
9,190585,619,4,46
16,258363,1031,10,278
10,251934,992,5,43
15,289575,871,8,49
10,41431,136,4,13
12,519313,1186,6,61
6,28041,51,3,8
9,308808,303,3,9
16,1005254,1211,11,104
13,473397,994,7,213
8,584102,992,3,132
3,1752,6,2,3
3,17388,55,2,28
6,88234,400,3,12
4,47495,82,2,4
5,124273,164,2,9
12,630577,1275,8,390
8,68551,158,3,11
10,385165,859,4,70
10,1378901,1687,7,54
9,1110145,1803,4,469
4,4689,8,2,3
20,868390,535,16,100
10,143887,200,5,25
9,158481,418,4,23
10,243463,826,5,184
13,151434,470,7,31
5,11437,23,3,7
15,340541,784,11,196
10,793585,686,6,52
3,303725,154,3,16
8,1529155,262,8,44
1,119,1,0,0
3,180001,83,2,2
11,2798931,822,10,50
