combo,puts
b9c3f76bc66d66eace0251fbefb236ab, 229
418226cec6c0d6a1d27213605f605187, 226
d7e32eb1c37b7efa04ddba08bd24c207, 221
125909fff82853a397fdfcb78dba157b, 219
a727c7d1487171dd5d9f758911677c14, 215
9fb8fa80628e3e2f594cbe558a514ba0, 212
d52df48f5a2ff544bc561cb3be8f6994, 211
516b4766d4542431327ce20eab546479, 207
fd9d726c3610bbdd7939aac86dc19b86, 196
deb1a21c5d4d8466f5136f94b3046b9b, 195
3e0c440a1194537dfab3780b61771974, 190
95c2dbce7f9da737b5d258e98de81732, 187
7d5ccabe2430eae77981a22af5e0d699, 185
7a49cd711ba30d6cc34f7a03e4e0cd33, 184
ea8e51ca0c6ee019563c779517afd241, 182
5fe947afe27e722170786eed19467824, 181
525c1d8db0ea9509fc28fe809987d3b7, 179
45c75da9653d6f962e8dcdfb56010d5a, 179
c4dec3d532d7f180c90fdf2808cfcc87, 178
2d4ca820f9aceb34768e8b2f792a0562, 177
7e436216c4415d03800d22f3a991e2d7, 175
1ba69b693efaa17acf5f6d41db688ca7, 174
da084f614b48014d50ca0c686678319e, 165
c4c4a9b20483cb2bd8ac63ca1cd68a36, 164
166c298837b55b8b161ec21dad1c13eb, 161
ec07bbaa6da1c1eb937fe4d36fb8bc4f, 160
1458644e21e711ab69155433e8f3f8e8, 155
d6821db79e2c099560c2f02ada305bd5, 153
91e58cf6a7868162f85eb3ca359a5111, 150
f20c20334372f4849ed244ba21b5fbbb, 149
5c4a3419430c828d1177bcbb451df84f, 148
a6432b8b7ac2238665651b525bd98579, 143
8f7df2486c338eb6f013802b5565b3c8, 143
995105afdcb4217331a1eb306f5dad60, 142
29b386db674b1fd45fc4bd4aac05d499, 141
1291c59986ef4c939a022a741d9ec693, 139
3db7a289bfdecfb2b2d204409a683376, 139
8b236659d049f25018ff631959dfcc42, 136
705c475732b8ea20a58ad5c126150ed6, 136
a9ca95fef2cbb21cbc29e12b6250b5c3, 135
2ce77887b04d56dacd04b835e5bb3424, 134
b9d5a3c67fce855fb711f2da2671f9b5, 133
5bb519cacbf491e87e5b8effe55d40ba, 131
ee1dcdbd1ffff1dfacda0de1c728bc33, 131
297fea7f8c178abb0d31e5a1a105dbfe, 131
8c459226191636b4423157218e2c0cb7, 131
09d1a530468f73678ad3aa8c1dd5fd29, 130
569b997445e9ca0ad0e63903ce3c75f5, 129
b786865b3ef35baf5421da77ee7b8bf3, 128
383e9f01592d3cc96750d795deeef866, 127
f5d9a6657b54ea3381635eb3aae442ae, 124
9bb7894f6fa8b2635e169eaabbc2a9dd, 123
7a12e2f48e41014723bd8418a98c4562, 120
5258da26e71459199ff9b43c9a892035, 120
8ae755f4c51eb8b2139f6fc798af9426, 119
e904af15a0451d43ec8b4940d42b0990, 119
8f31630deba250970d852c592ea304d3, 118
6e21cc3ab6734f0bbc24c6e20eea7e08, 116
8f8c6c38b0c4824ff82a454aac70224f, 115
062418098f8a5cf8e3386979d66df6ae, 113
9fbf08f635a5e0fdb1fdc223bcbce88a, 109
6dc27372183f562370b5094a500fe2ba, 107
c4cfbb15ee67622a644e92c17ea0b085, 107
c25d14c6df9f261c9c9de939ddd15eef, 104
3a4587b50b3b54ef39f89ffeb2bf22bb, 104
aa0a3d3d5b15d5581d908642c35e8fdb, 103
58cda00981a258cdfe78b15967ae25b1, 103
847bc6b3c69c6d03c81c0467c06ee504, 99
154f616c4ae5344df118e093ad1523cf, 98
4cb4286d4f9e86ea0291d254af7c3497, 94
730e9ef9a56839bb48ae4d9b32a79655, 93
93dff0648575cfef79ebc7d612a37115, 90
b3dbb8f505b17abe14e46e21e6de9d94, 90
516a9d06f4c0fa2aaf3911264a2f9461, 88
c72ce6d0678366871f18faa0ed58d458, 88
347420c82de5e8930c773be997d2a6f7, 88
8c6b0c306d26d44b95ac791920699503, 88
8a9c9320acc93fecfa7e5949cfa8b277, 87
6bbc739a9e03fd8f8535e08ec51a5b54, 87
414fef81af8e143e0e3d337fdbfc074f, 87
318f3a8ce8e4cf0213fb477bc6607952, 86
058da51737abfcd140a3adbf34524c65, 86
f7d5200101f8b67e5466004c0c6e2677, 85
6a3756cf082235043f9190b627a4576c, 85
caf38b19540e17616e743e34098a8aee, 82
b67e9d415d1d87434c544f169ef317d4, 80
3b45f1c3ada80309b6f3d6386385c3bd, 77
3f7ede57ace5310ef902eea8aa540954, 72
4bb741f41ed4c1dc16cd6a4d468003ec, 72
7ac07861870197f70bf0f5b971acabf3, 71
3848ade0720e418a5d1ca50eb9f6f77b, 71
063d5990cb96f7661e2327e30f456d61, 66
9860a991cee10a0f541410321dc43e39, 66
58061ea7a489cb6cd453640ffbf2998c, 65
982ca144b72e0bf188c715f05195d8fc, 64
a8f7b830ad32b74ce2113e355c2c74c5, 64
73f5d57c12b3b13032e57664f520e4ae, 62
3d78f55cf320509877935147bd3f4868, 61
779425cf55bc831b558e59e107c0e7f4, 61
013dbb9ad0531b1170ce26bab2ea6cbb, 59
c74fe9752fc504ced04d1a01146630be, 59
53c211509f4d7159058e9e0d941bd193, 58
10173e94a5cbf1cdb2ef0159bc7f0bbc, 58
a50bb676d506db450858652baede62d9, 56
b546f849ff2746c18d6afe834dc71dfb, 56
0733777b44a93f67179f99b78b18fd45, 56
7195068ea32014fd511e03c78f6df6cf, 55
20a4c8c8af18ca4686a5ed6bd1ba4437, 53
147a104d47975cdebe63d6d7c598e072, 53
bd9e3f33f2e9751e1099bea7a429ba61, 53
295a3dedcc7e932bfa5fb1e32a509ec7, 53
b7f0adb6de3fa0d62fee6101848907d0, 52
088b16d94b3dae71e7365f5f18517c91, 52
202890eb9cd73c4587557f08710a265a, 52
fab15e7ea88772d5380a9b2dacfa1c79, 51
f38f107faf24c14a6351196fdc09964d, 51
e7a60a687ea635cccb880d7aa177270f, 51
85f3da1a446e68a0cb01bcf9eea40073, 51
2d7a06d710d7e283cede89f717f7a5a6, 51
38b4627c60114b1ea8235903d14acc9c, 51
e8d2307eb5413404ba62217dee5c48d5, 50
99e5e6e4ca34e1a1ec2e4beb8088ca22, 50
b2279135d0e6bf582aac58f94b97f0a4, 50
bfb44c3df76fc88595d0d4bd6fbf3cf8, 50
43928c28acb75f3901da728337e1aad0, 49
2149748db80936f149d9cb3a96f12124, 49
774fa445ffe095cababe3001cdef045d, 47
bd562a408331deda508fc07ccf943f0e, 47
87be7975479a9282f58b686f71a65946, 47
00c8aff94c0abef0b64ecffaaf438736, 45
095a93495762cbe43bc3a461a0274971, 45
929fb0aa62d2c0ef5b3a57b6821e6ef7, 44
f00c348e27b0a64a6c6aa9591d93cfa4, 44
d8bd60a78cf8dd600bf9e8bc10bdc360, 44
49c5bc9fd458f72ac3b3d11c4265c935, 43
cf7935f03a485f4ac8ad08f6b7364678, 43
0bf3de2a0e7296ae41c2375120fbc0b9, 43
b992c886997ab535aae49483110b44df, 42
d72cd3a8ec5f6969d9412a9da5b36d48, 42
0078dfab126124e6857f2012d697b630, 42
b6cfb1b9301676519dd7efd9eda0f43b, 41
1d23c16b2151494f1cb781048f9b1bb9, 41
9f431c15464c07cf3fdae43ca1ac726c, 41
edf3b46714b965fc931d23e59ae4dd06, 40
ab542d32cb276a36c9c919b6b80d48cc, 40
9f78e7b08773bfab270f0bb720cf3581, 40
761dac56687998f1b0c86e7e52146821, 40
c4c9a7969fdf12c7d73eb4924be8e129, 40
644dd842e075e514f27f1ff2ddc6f50f, 39
35d79684234fbb24c98ca7fd4bcb6de0, 39
a57b6b1124a0d44007814f3df9157013, 39
29dd9a165abd80ca8b0b34868f4ad465, 39
23f1132a88386e177e2be8117d367b6e, 39
bbe17ef6128e959265d4a1ada4d199d5, 39
ca0bb3ca3307c6b24cea279de4dd4446, 39
e7463810f2f304dfaeda713b8627db5b, 39
8cba51abcd4190fbec2f0be20666efdb, 39
4bcf08cbec57cd04e4d3b2ee288ad8b6, 38
50ae28c216e131bf93f3634217e24288, 38
faf2c117fc231f0ad9a302388f04d9ee, 38
365a64bb86fbe9a358f551f55bc8a355, 38
f6277659f4f13c8bfbda4b739147b6d3, 38
46d1959197869852aff706756d864b3a, 38
fe9d6f00ed0a24ce2c4b8156247549a8, 36
f97d277341597a2a93256d78d431961d, 35
47b22403b5efbd37b6e0d51d22c8d737, 35
96eacaadb5a18601e11c3a38b5e6f9f2, 34
