combo,puts
ffc82919fb3495baf592d84e302f32fe, 1439
e9142a52c24951b20ca4423f9e1eb132, 1331
d577c3f7f28307d07370993ccec5ab3b, 1125
17124f1e9388fbfbc17bf6e4f7b04d85, 1105
bfb4d483fc1fe29789f5aedc60bcc46f, 991
92e39dc6bb52b8c347b9e15c86c030cf, 940
d8fdc8e3722babdda7cd828dca6dbb3c, 919
5f7abf7ec6ce3f5d567e39f767045a02, 915
fde10656f73ce8e492dc3be9170d594d, 885
1437a9f647545c375f6fe1e0e8f9f7fd, 844
d8e243bea45270e5e60bfb7c0a69bf77, 833
eb9955dbd6a5105ea99793a724dd2188, 809
41978cc8fc624338dda358ea5a7cb6ce, 766
7b4efb6c1e7d57f51aa75b178a668809, 762
9efcb509517a04a12a3136c3184067ff, 748
ef58829e2c25f3f6de56a445e3821d15, 676
a6fd9ffe4962b9192c66ec35897924d3, 669
2306c41679752f8e4289a249adcfbab8, 660
76a7b5ac894b50bd5107dcaca9a41e09, 612
c8ffdbdb3f4bec623628a042f369be2d, 611
1cd78319a15d257508ada21e3988608e, 602
60e45d4d632f050b090501bdf3adcbbe, 593
a1479b9c74f312eb743cd7ccf44ce5e9, 593
b3e6e82bfe434d6187e7979ac6dad77d, 589
a6021c820e9571c206ab5dd1acc39c7f, 576
fbcbeb2fb36a2423f7719696e17d5b51, 574
1723bffc66460def144c9ef7ff692a02, 572
564c0df5eb20dce31190c3d5868396ac, 570
319613253d53fed215a6ca2e12f3e377, 567
82a8004b74362aeff3b79bcff4169bf2, 566
93c7224dec8ebbd0be3c12d694b35a61, 558
4e11c77eb5ab9135aac9ca2b77d1004e, 550
17990ec98ca1e444cc4d646230c4f6bf, 550
379353115b095d62a543c1284f104927, 543
f4d69a32c5fbc869be015563ba7f81b0, 534
ddce632874b4b683af01b24cce2fc81c, 534
34c82484e1f2ceede40c718396d1ca29, 527
40079261c37ac5ddcb106b51f1725823, 524
f2346a3cc83e6add9df9346d11edaed4, 521
7eeae5852f865cb2b6a883e1ed2e2764, 519
b97a84fd350fb3184b640048df446242, 518
b66dbf3573b1a5541a9f645fe7f6e26f, 512
5e7d6cbba26c661812b94686f9abeba6, 503
f72686a87f73676d6d4049bedf8538d0, 503
d838443a672df97f6f4e6571fb11e9c4, 500
