IPs,milliseconds
4,6629
1,2072
1,33667
2,87110
2,153702
2,11876
3,112822
2,36367
3,78683
2,14898
2,6117
5,83696
2,15538
4,10107
3,5767
3,14154
2,438
4,47433
3,2295
3,34
3,17040
2,9102
3,86831
4,2259
3,1052
3,104403
3,17274
3,3714
2,2513
5,68929
3,2908
1,2
5,47511
3,2226
2,1434
2,31332
1,14876
4,48371
3,939
1,39
4,6758
5,11658
4,25835
7,55607
3,3934
4,24079
7,138081
6,12122
4,11492
4,43968
2,21663
3,4816
6,90928
4,132282
2,4718
4,61339
4,92003
3,1960
4,21996
5,66560
3,3703
2,10444
1,410
1,13519
1,1817
6,131292
3,2934
5,15716
2,22254
2,13050
2,788
2,8134
2,22483
2,81645
2,6240
3,15646
1,30
3,21622
3,16506
3,5544
3,38670
5,169668
7,17523
2,1546
4,18601
5,12028
3,3096
5,2724
8,15575
5,1268
4,2722
8,28384
3,3247
4,5282
6,15390
5,21615
2,1661
8,91155
6,2588
7,1189
4,1031
2,874
3,3844
5,29287
4,22552
7,92681
6,1456
2,268
1,185
1,1046
3,1970
2,5871
5,17082
5,6281
4,4684
1,301
2,1085
2,1045
8,36153
1,29
5,1207
4,4577
3,13876
1,14
3,3605
6,45551
6,15902
4,10729
6,50036
7,97208
6,147215
2,41817
3,25704
8,131027
5,4847
4,45378
4,1350
2,824
5,37060
3,482
4,19745
3,6609
3,43940
4,51982
2,2493
2,928
4,55977
3,1415
4,23426
5,24370
1,36
3,2048
1,35
2,13077
2,21393
2,21474
2,21485
5,8448
4,1903
3,1128
4,18770
3,20023
6,93905
5,2513
2,155
4,36643
7,44578
6,3692
5,2027
6,63623
5,2210
3,1355
2,1202
4,57631
4,107221
4,39157
3,6867
3,15832
3,5914
2,10881
4,26614
3,2548
4,42277
4,23763
2,95591
2,65061
1,2011
4,97530
4,2799
3,3020
3,9890
1,24
1,1647
2,294
5,56975
3,13717
3,16087
2,10189
2,3774
8,123971
5,3216
4,3772
8,49228
7,2199
1,74
1,4
4,918
3,1337
2,3894
7,49286
4,30088
3,4952
2,15463
4,48138
5,106304
6,123015
3,1193
1,2717
4,87413
2,42470
3,34321
4,180889
3,4149
2,1351
1,1394
3,3425
2,4168
2,24695
2,113607
4,25701
3,4509
2,1412
1,67
2,3830
3,58257
4,99414
8,109500
6,21991
5,19818
4,5995
9,53820
8,24293
4,14180
3,5782
7,56494
3,26200
5,100004
5,9471
10,228459
3,901
6,52728
1,573
4,18918
1,1097
4,23441
3,5900
3,5207
4,62519
6,70629
3,11068
6,69848
5,2423
5,31761
5,22336
6,23089
5,9249
5,22231
5,4242
4,5739
6,22411
5,5172
7,13176
7,5468
7,5946
5,17805
4,2221
4,6312
3,4554
4,49222
4,23988
4,5291
3,18421
3,9898
4,12829
5,27711
3,7116
4,31621
4,28975
6,9056
6,32949
2,4370
3,5114
4,12815
3,28219
6,63192
3,35403
5,20728
3,35408
1,6131
4,25107
3,5373
3,5624
2,5988
2,10261
4,58574
7,122360
3,6365
3,42043
3,21355
4,63767
4,31551
3,18907
4,59532
2,30216
4,16302
3,588
3,15397
3,1995
3,5437
2,10
3,3308
4,20083
3,51458
3,30924
1,7320
2,82668
2,22945
4,88053
3,39861
3,268428
2,101807
3,166934
1,10965
3,74890
4,262624
8,139502
2,20275
2,87662
4,25827
3,9805
2,1406
4,146092
8,114371
4,12058
3,812
4,115879
2,104966
3,79476
2,28
2,1251
1,2618
4,21395
3,26498
2,25457
2,11536
2,18796
4,242422
7,56399
3,3264
2,466
3,156920
1,8039
3,75509
3,1035
2,1591
4,91333
3,17115
3,4234
1,618
2,30755
4,27849
4,45514
2,22163
3,19637
6,27869
5,24677
3,26960
4,34177
3,6737
2,978
2,40883
4,36481
3,1496
2,25038
2,29991
1,21416
3,45523
4,29424
3,943
2,4803
5,17077
5,4892
4,1111
3,1249
3,15823
1,3
4,137019
3,1208
2,2833
2,17888
4,111782
3,134
2,3939
3,18450
2,2226
2,149
1,69
3,115887
4,113274
3,7896
2,5639
5,21468
2,1667
3,21955
3,129230
2,24935
4,22780
2,958
2,14797
4,36766
4,30505
3,12563
3,4468
3,33090
3,13104
2,45206
5,72974
3,2645
2,4815
2,15602
3,9472
4,8610
3,13159
5,8006
1,1
3,3989
3,57412
3,16197
3,7044
2,4953
1,1403
3,30681
3,33904
3,6509
2,10371
6,190150
3,81858
2,1690
1,3250
1,134
2,105768
2,219089
4,38757
3,7298
2,10084
2,131929
2,14397
2,9545
2,12118
3,11034
2,13960
4,25031
4,4516
5,3340
3,1015
2,3498
1,13454
5,92065
3,2966
2,21604
11,175366
3,7130
3,14979
3,14765
3,19005
4,28489
6,69996
6,23888
4,98471
3,19144
4,45170
3,6202
4,45273
6,22560
5,2134
4,2984
2,752
2,3375
6,57490
6,26153
5,120505
6,43870
6,41400
7,96447
4,19301
6,108376
1,162
4,29824
1,93
3,7519
2,9769
3,85335
1,15715
4,31765
4,9076
4,126750
2,6609
4,17045
5,47890
5,58434
2,54590
6,61763
6,68124
3,2474
2,886
1,2055
4,35978
3,5070
5,60497
1,210
2,5911
3,15538
3,6044
3,15821
4,55181
3,8316
2,4939
4,135655
3,1628
4,27571
5,31808
6,4114
5,2184
6,60801
5,126957
4,36197
3,3393
4,40577
4,132762
2,537
1,3232
4,78153
3,4470
2,14507
3,21033
3,24338
4,102691
3,13151
2,7193
5,302331
2,3374
4,112776
4,88743
3,2318
3,20084
4,79367
5,85415
8,25978
5,3597
2,758
3,2253
7,25764
5,4314
4,5597
3,9092
4,4925
2,113169
3,16420
3,42840
2,103623
4,95967
3,11158
4,28290
5,90727
1,26
4,77949
1,2077
2,29088
2,78713
1,14196
4,146337
3,2842
2,23009
4,116177
1,5064
2,19021
4,166948
3,16858
3,2479
3,30556
4,70740
6,67680
6,77618
3,2960
3,37767
4,278114
3,958
5,129033
1,2174
4,144914
6,317022
4,71095
3,25456
8,184437
7,12008
10,31319
8,24747
7,4225
6,20466
2,152
8,105204
1,11
6,86940
5,6132
6,27761
4,8019
1,72
5,2510
5,30909
4,3277
6,21478
4,11261
6,33589
4,24291
5,31417
5,4666
4,11250
5,19136
6,25407
5,23668
4,20225
3,1336
4,23385
3,4247
4,108229
6,38131
5,11254
4,8927
4,43890
5,5518
4,8799
5,30056
3,790
8,92568
11,68535
5,9589
3,1200
5,3079
9,43222
5,2666
7,29185
6,6477
5,3037
1,23
4,1199
5,19005
1,15
5,4133
7,27522
5,12277
4,7942
8,28794
8,4094
7,948
7,6123
6,4877
3,442
4,1973
3,11339
3,6232
4,12657
4,3496
3,3477
6,21405
5,1704
4,1946
3,11829
7,18875
4,1788
3,184
3,3971
9,29561
6,13707
3,666
4,15744
5,6817
4,6030
3,1378
3,1708
5,15881
5,7614
4,3555
3,7045
5,15111
5,29790
5,2007
2,12
6,31550
5,1041
4,2217
1,77
4,20222
6,32746
3,1141
5,32083
5,32379
5,22271
1,34
2,5726
7,82074
5,665
4,5122
4,6490
4,176555
2,146471
4,381448
2,175540
1,61941
4,72513
3,17512
1,20377
1,3259
4,109588
1,2055
5,76769
3,16766
4,5262
2,163
2,19623
1,74
7,63577
3,6355
2,1748
1,41
2,10233
4,27619
1,16
5,11773
3,868
1,1610
1,72
3,17995
4,3620
2,285
1,6210
1,34
6,16252
4,6462
3,1544
3,9647
7,86707
4,2053
4,60486
4,92804
6,41714
3,12869
7,77421
2,19307
4,180582
4,106237
3,56629
6,476100
3,10979
9,80310
4,61917
1,3082
1,21449
5,413317
4,455488
3,14891
2,3868
3,782649
4,288017
1,11939
2,127438
3,65218
