IPs,milliseconds
6,481813
3,1698
2,982
2,20237
3,4214
6,36113
6,31844
5,1878
3,1568
4,18951
5,9138
6,27475
5,2907
4,12373
3,1609
4,9182
3,4501
2,1669
2,17363
10,45673
1,44
8,2322
9,11760
11,10689
9,1187
5,642
5,404
12,22365
11,2482
5,656
7,835
2,135
1,4
1,127
5,932
1,141
4,1706
3,1767
2,913
12,25865
11,2896
1,28
6,808
7,787
1,50
2,226
1,72
4,1888
3,5200
2,1204
12,29629
8,706
2,183
7,758
3,305
1,237
5,1597
5,753
3,1147
3,3776
2,2151
1,549
1,3
7,13993
8,1700
7,2419
5,949
6,1991
7,2514
5,1437
7,13494
8,3244
8,2875
10,16677
10,3899
8,1516
6,425
6,1801
2,152
1,26
3,248
12,31463
10,1086
9,983
3,466
3,144
7,1219
12,24539
10,1200
9,1223
3,80
4,540
1,290
3,117
12,25781
2,55
6,435
5,562
4,517
5,648
3,476
5,1575
3,1763
3,1382
1,138
8,18259
9,1680
2,467
8,1259
8,3577
1,26
4,483
5,1285
2,379
10,22960
11,1731
10,2353
2,179
7,920
5,715
1,114
3,289
4,3424
1,128
2,2016
1,464
8,17698
8,1489
2,154
2,155
6,1342
2,132
6,17784
6,1235
7,1495
9,10934
13,14864
12,4752
12,9841
12,10099
12,8842
14,29186
1,242
12,2104
11,3420
14,32434
12,1416
12,18866
13,2685
12,4773
1,5
14,23182
13,6052
5,414
12,16400
14,22271
14,49462
11,1301
14,121729
13,13329
14,24157
11,808
7,646
9,1877
5,455
7,2739
5,359
14,30844
14,1454
12,18074
12,14792
13,17091
11,8671
10,3494
12,10650
1,31
12,7477
9,2325
9,7662
13,15572
10,3060
3,385
11,14572
11,4408
9,2040
9,4453
10,7528
10,10310
9,2045
4,521
5,269
9,1270
10,18660
10,1514
12,15746
11,3366
9,1324
7,543
3,330
1,64
6,1016
2,136
4,2409
5,876
9,17648
5,598
10,5068
9,2677
8,3289
5,722
1,28
5,2984
3,490
2,274
4,2459
12,16399
4,263
1,134
8,1469
10,2405
2,27
1,7
4,403
3,434
2,155
2,183
5,4453
2,125
3,760
9,12273
6,706
5,1029
3,923
10,5670
1,15
9,1795
6,332
4,808
2,9
7,1746
4,997
3,2566
11,17436
1,41
3,108
12,2965
12,776
8,910
5,161
11,1671
8,2442
1,21
4,770
2,332
4,4437
1,54
2,1984
11,14614
8,1635
3,240
6,928
3,165
1,5
1,754
8,1836
4,414
7,3007
1,2
6,1281
5,1347
4,4432
4,1779
1,171
9,7967
9,2649
1,103
7,1449
7,1493
8,1845
16,27080
13,1961
5,297
7,1254
8,1790
1,21
2,475
7,5842
4,2216
3,3703
7,5033
6,1700
9,8595
11,2125
1,13
9,1116
5,667
4,254
1,0
6,1487
6,1592
4,2107
5,5157
4,2548
4,3536
2,1487
1,585
6,5668
7,7364
13,15081
8,1545
3,130
7,875
1,37
8,1717
3,809
1,289
3,692
6,4778
2,2134
1,120
1,1348
4,9926
5,1886
8,4323
4,1036
10,6565
3,303
8,5425
5,2129
7,1672
14,43187
13,8613
8,3810
11,5737
9,9092
7,1619
11,13771
8,2654
10,17001
8,4288
8,3054
10,16917
3,823
11,18902
9,8917
2,914
6,6358
9,14461
3,999
5,3528
1,108
9,14248
1,7
6,7107
7,12072
6,4766
6,5176
4,1500
12,26145
5,4526
4,3672
10,14640
3,733
2,1261
3,4031
2,5410
2,28
4,1249
8,19766
5,4714
2,839
4,988
3,3072
4,5341
2,954
1,2998
3,4755
6,7416
6,6728
6,8823
3,3357
4,781
1,165
4,1068
4,17682
3,1091
3,1201
11,40415
7,6413
8,14225
5,3939
6,8272
5,7177
4,3940
6,4244
5,13804
3,1312
3,2449
2,1637
7,15723
4,4421
2,321
4,5583
10,28089
8,6194
4,6188
5,5625
4,596
1,48
8,25195
7,13233
7,5041
7,34763
3,1976
8,45059
7,2690
8,25764
1,315
4,15764
4,10149
7,48408
2,519
6,26601
2,239
4,6871
4,12054
5,8541
4,14361
2,5220
4,12371
2,863
3,12823
5,25145
5,40426
2,606
2,8229
8,69804
1,17
6,20464
4,22707
3,8248
3,6607
5,38748
8,86150
2,717
9,50471
2,22
3,7236
3,17650
5,29647
5,10946
2,13377
4,14036
3,1455
9,76683
6,16166
3,15779
1,9981
4,7085
4,15144
5,32744
2,13814
2,12574
1,3335
2,18538
6,33282
8,28705
1,21
7,35452
5,833
4,40785
7,44066
4,5529
2,12079
2,5981
4,21429
1,17069
4,11837
6,33346
9,53673
8,38911
7,20625
1,1024
3,19861
2,35844
1,68
4,11687
9,127231
4,16564
8,53090
3,20375
3,1765
2,61902
6,192516
1,35734
2,21821
2,14853
1,20
4,98023
4,123341
5,74301
4,78010
1,201
1,116
1,3
3,50383
4,28387
7,51246
5,11069
1,1624
4,53584
2,12754
5,9240
2,22445
1,20413
6,121140
3,16239
1,1611
2,15971
2,106339
4,103670
3,48296
5,28213
1,11433
1,45
7,152120
1,1395
1,51562
3,118662
3,55166
1,596
7,211641
5,60037
3,25531
2,112257
2,13818
1,7310
3,182675
4,191273
3,47021
3,23745
