IPs;time
83.42.6.40; 2016-02-28T08:14:12.530Z
83.42.6.40; 2016-02-28T08:14:13.570Z
83.42.6.40; 2016-02-28T08:14:14.695Z
83.42.6.40; 2016-02-28T08:14:15.879Z
83.42.6.40; 2016-02-28T08:14:16.997Z
83.42.6.40; 2016-02-28T08:14:18.076Z
83.42.6.40; 2016-02-28T08:14:19.065Z
83.42.6.40; 2016-02-28T08:14:20.179Z
83.42.6.40; 2016-02-28T08:14:21.333Z
83.42.6.40; 2016-02-28T08:14:22.469Z
83.42.6.40; 2016-02-28T08:14:23.526Z
83.42.6.40; 2016-02-28T08:14:24.646Z
83.42.6.40; 2016-02-28T08:14:25.799Z
83.42.6.40; 2016-02-28T08:14:26.922Z
83.42.6.40; 2016-02-28T08:14:28.050Z
83.42.6.40; 2016-02-28T08:14:29.257Z
83.42.6.40; 2016-02-28T08:14:30.378Z
83.42.6.40; 2016-02-28T08:14:31.538Z
83.42.6.40; 2016-02-28T08:14:32.693Z
83.42.6.40; 2016-02-28T08:14:33.848Z
83.42.6.40; 2016-02-28T08:14:35.045Z
83.42.6.40; 2016-02-28T08:14:36.223Z
83.42.6.40; 2016-02-28T08:14:37.381Z
83.42.6.40; 2016-02-28T08:14:38.538Z
83.42.6.40; 2016-02-28T08:14:39.699Z
83.42.6.40; 2016-02-28T08:14:40.788Z
83.42.6.40; 2016-02-28T08:14:41.969Z
83.42.6.40; 2016-02-28T08:14:43.126Z
83.42.6.40; 2016-02-28T08:14:44.311Z
83.42.6.40; 2016-02-28T08:14:45.514Z
83.42.6.40; 2016-02-28T08:14:46.690Z
83.42.6.40; 2016-02-28T08:14:47.874Z
83.42.6.40; 2016-02-28T08:14:49.119Z
83.42.6.40; 2016-02-28T08:14:50.418Z
83.42.6.40; 2016-02-28T08:14:51.622Z
83.42.6.40; 2016-02-28T08:14:52.844Z
83.42.6.40; 2016-02-28T08:14:53.966Z
83.42.6.40; 2016-02-28T08:14:55.103Z
83.42.6.40; 2016-02-28T08:14:56.372Z
83.42.6.40; 2016-02-28T08:14:57.525Z
83.42.6.40; 2016-02-28T08:14:58.726Z
83.42.6.40; 2016-02-28T08:14:59.947Z
83.42.6.40; 2016-02-28T08:15:01.161Z
83.42.6.40; 2016-02-28T08:15:02.386Z
83.42.6.40; 2016-02-28T08:15:03.645Z
83.42.6.40; 2016-02-28T08:15:04.884Z
83.42.6.40; 2016-02-28T08:15:06.146Z
83.42.6.40; 2016-02-28T08:15:07.334Z
83.42.6.40; 2016-02-28T08:15:08.560Z
83.42.6.40; 2016-02-28T08:15:09.817Z
83.42.6.40; 2016-02-28T08:15:11.033Z
83.42.6.40; 2016-02-28T08:15:12.287Z
83.42.6.40; 2016-02-28T08:15:13.521Z
83.42.6.40; 2016-02-28T08:15:14.734Z
83.42.6.40; 2016-02-28T08:15:16.032Z
83.42.6.40; 2016-02-28T08:15:17.266Z
83.42.6.40; 2016-02-28T08:15:18.551Z
83.42.6.40; 2016-02-28T08:15:19.795Z
83.42.6.40; 2016-02-28T08:15:21.096Z
83.42.6.40; 2016-02-28T08:15:22.346Z
83.42.6.40; 2016-02-28T08:15:23.643Z
83.42.6.40; 2016-02-28T08:15:24.838Z
83.42.6.40; 2016-02-28T08:15:26.016Z
83.42.6.40; 2016-02-28T08:15:27.231Z
83.42.6.40; 2016-02-28T08:15:28.530Z
83.42.6.40; 2016-02-28T08:15:29.814Z
83.42.6.40; 2016-02-28T08:15:31.090Z
83.42.6.40; 2016-02-28T08:15:32.313Z
83.42.6.40; 2016-02-28T08:15:33.603Z
83.42.6.40; 2016-02-28T08:15:34.922Z
83.42.6.40; 2016-02-28T08:15:36.251Z
83.42.6.40; 2016-02-28T08:15:37.579Z
83.42.6.40; 2016-02-28T08:15:38.888Z
83.42.6.40; 2016-02-28T08:15:40.184Z
83.42.6.40; 2016-02-28T08:15:41.532Z
83.42.6.40; 2016-02-28T08:15:42.870Z
83.42.6.40; 2016-02-28T08:15:44.190Z
83.42.6.40; 2016-02-28T08:15:45.531Z
83.42.6.40; 2016-02-28T08:15:46.869Z
83.42.6.40; 2016-02-28T08:15:48.202Z
83.42.6.40; 2016-02-28T08:15:49.518Z
83.42.6.40; 2016-02-28T08:15:50.840Z
83.42.6.40; 2016-02-28T08:15:52.190Z
83.42.6.40; 2016-02-28T08:15:53.528Z
83.42.6.40; 2016-02-28T08:15:54.868Z
83.42.6.40; 2016-02-28T08:15:56.182Z
83.42.6.40; 2016-02-28T08:15:57.523Z
83.42.6.40; 2016-02-28T08:15:58.866Z
83.42.6.40; 2016-02-28T08:16:00.185Z
83.42.6.40; 2016-02-28T08:16:01.504Z
83.42.6.40; 2016-02-28T08:16:02.845Z
83.42.6.40; 2016-02-28T08:16:04.173Z
83.42.6.40; 2016-02-28T08:16:05.527Z
83.42.6.40; 2016-02-28T08:16:06.862Z
83.42.6.40; 2016-02-28T08:16:08.188Z
83.42.6.40; 2016-02-28T08:16:09.533Z
83.42.6.40; 2016-02-28T08:16:10.884Z
83.42.6.40; 2016-02-28T08:16:12.203Z
83.42.6.40; 2016-02-28T08:16:13.531Z
83.42.6.40; 2016-02-28T08:16:14.870Z
83.42.6.40; 2016-02-28T08:16:16.225Z
83.42.6.40; 2016-02-28T08:16:17.568Z
83.42.6.40; 2016-02-28T08:16:18.896Z
83.42.6.40; 2016-02-28T08:16:20.250Z
83.42.6.40; 2016-02-28T08:16:22.598Z
83.42.6.40; 2016-02-28T08:16:23.436Z
83.42.6.40; 2016-02-28T08:16:24.275Z
83.42.6.40; 2016-02-28T08:16:25.055Z
83.42.6.40; 2016-02-28T08:16:25.887Z
83.42.6.40; 2016-02-28T08:16:26.726Z
83.42.6.40; 2016-02-28T08:16:27.560Z
83.42.6.40; 2016-02-28T08:16:28.434Z
83.42.6.40; 2016-02-28T08:16:29.286Z
83.42.6.40; 2016-02-28T08:16:30.144Z
83.42.6.40; 2016-02-28T08:16:31.003Z
83.42.6.40; 2016-02-28T08:16:31.868Z
83.42.6.40; 2016-02-28T08:16:32.726Z
83.42.6.40; 2016-02-28T08:16:33.486Z
83.42.6.40; 2016-02-28T08:16:33.597Z
83.42.6.40; 2016-02-28T08:16:34.436Z
83.42.6.40; 2016-02-28T08:16:34.530Z
83.42.6.40; 2016-02-28T08:16:35.288Z
83.42.6.40; 2016-02-28T08:16:35.665Z
83.42.6.40; 2016-02-28T08:16:36.137Z
83.42.6.40; 2016-02-28T08:16:36.848Z
83.42.6.40; 2016-02-28T08:16:37.000Z
83.42.6.40; 2016-02-28T08:16:37.835Z
83.42.6.40; 2016-02-28T08:16:38.409Z
83.42.6.40; 2016-02-28T08:16:38.669Z
83.42.6.40; 2016-02-28T08:16:39.547Z
83.42.6.40; 2016-02-28T08:16:39.612Z
83.42.6.40; 2016-02-28T08:16:40.394Z
83.42.6.40; 2016-02-28T08:16:40.758Z
83.42.6.40; 2016-02-28T08:16:41.278Z
83.42.6.40; 2016-02-28T08:16:41.887Z
83.42.6.40; 2016-02-28T08:16:42.161Z
83.42.6.40; 2016-02-28T08:16:43.039Z
83.42.6.40; 2016-02-28T08:16:43.093Z
83.42.6.40; 2016-02-28T08:16:43.975Z
83.42.6.40; 2016-02-28T08:16:44.602Z
83.42.6.40; 2016-02-28T08:16:44.810Z
83.42.6.40; 2016-02-28T08:16:45.676Z
83.42.6.40; 2016-02-28T08:16:46.345Z
83.42.6.40; 2016-02-28T08:16:46.507Z
83.42.6.40; 2016-02-28T08:16:47.363Z
83.42.6.40; 2016-02-28T08:16:47.761Z
83.42.6.40; 2016-02-28T08:16:48.210Z
83.42.6.40; 2016-02-28T08:16:49.055Z
83.42.6.40; 2016-02-28T08:16:49.119Z
83.42.6.40; 2016-02-28T08:16:49.952Z
83.42.6.40; 2016-02-28T08:16:50.780Z
83.42.6.40; 2016-02-28T08:16:51.306Z
83.42.6.40; 2016-02-28T08:16:51.638Z
83.42.6.40; 2016-02-28T08:16:52.490Z
83.42.6.40; 2016-02-28T08:16:52.732Z
83.42.6.40; 2016-02-28T08:16:53.346Z
83.42.6.40; 2016-02-28T08:16:54.145Z
83.42.6.40; 2016-02-28T08:16:54.256Z
83.42.6.40; 2016-02-28T08:16:55.175Z
83.42.6.40; 2016-02-28T08:16:55.439Z
83.42.6.40; 2016-02-28T08:16:56.049Z
83.42.6.40; 2016-02-28T08:16:56.900Z
83.42.6.40; 2016-02-28T08:16:56.925Z
83.42.6.40; 2016-02-28T08:16:57.755Z
83.42.6.40; 2016-02-28T08:16:58.445Z
83.42.6.40; 2016-02-28T08:16:58.625Z
83.42.6.40; 2016-02-28T08:16:59.533Z
83.42.6.40; 2016-02-28T08:16:59.962Z
83.42.6.40; 2016-02-28T08:17:00.590Z
83.42.6.40; 2016-02-28T08:17:01.448Z
83.42.6.40; 2016-02-28T08:17:01.816Z
83.42.6.40; 2016-02-28T08:17:02.471Z
83.42.6.40; 2016-02-28T08:17:03.334Z
83.42.6.40; 2016-02-28T08:17:03.376Z
83.42.6.40; 2016-02-28T08:17:04.241Z
83.42.6.40; 2016-02-28T08:17:04.993Z
83.42.6.40; 2016-02-28T08:17:05.265Z
83.42.6.40; 2016-02-28T08:17:06.132Z
83.42.6.40; 2016-02-28T08:17:06.608Z
83.42.6.40; 2016-02-28T08:17:07.213Z
83.42.6.40; 2016-02-28T08:17:08.107Z
83.42.6.40; 2016-02-28T08:17:08.142Z
83.42.6.40; 2016-02-28T08:17:09.068Z
83.42.6.40; 2016-02-28T08:17:09.943Z
83.42.6.40; 2016-02-28T08:17:10.695Z
83.42.6.40; 2016-02-28T08:17:10.820Z
83.42.6.40; 2016-02-28T08:17:11.849Z
83.42.6.40; 2016-02-28T08:17:12.155Z
83.42.6.40; 2016-02-28T08:17:12.796Z
83.42.6.40; 2016-02-28T08:17:13.530Z
83.42.6.40; 2016-02-28T08:17:13.701Z
83.42.6.40; 2016-02-28T08:17:14.561Z
83.42.6.40; 2016-02-28T08:17:14.883Z
83.42.6.40; 2016-02-28T08:17:15.473Z
83.42.6.40; 2016-02-28T08:17:16.458Z
83.42.6.40; 2016-02-28T08:17:16.787Z
83.42.6.40; 2016-02-28T08:17:17.341Z
83.42.6.40; 2016-02-28T08:17:18.338Z
83.42.6.40; 2016-02-28T08:17:18.340Z
83.42.6.40; 2016-02-28T08:17:19.249Z
83.42.6.40; 2016-02-28T08:17:19.913Z
83.42.6.40; 2016-02-28T08:17:20.121Z
83.42.6.40; 2016-02-28T08:17:20.998Z
83.42.6.40; 2016-02-28T08:17:21.890Z
83.42.6.40; 2016-02-28T08:17:22.283Z
83.42.6.40; 2016-02-28T08:17:22.817Z
83.42.6.40; 2016-02-28T08:17:23.809Z
83.42.6.40; 2016-02-28T08:17:23.821Z
83.42.6.40; 2016-02-28T08:17:24.707Z
83.42.6.40; 2016-02-28T08:17:25.326Z
83.42.6.40; 2016-02-28T08:17:25.606Z
83.42.6.40; 2016-02-28T08:17:26.516Z
83.42.6.40; 2016-02-28T08:17:27.062Z
83.42.6.40; 2016-02-28T08:17:27.437Z
83.42.6.40; 2016-02-28T08:17:28.419Z
83.42.6.40; 2016-02-28T08:17:28.872Z
83.42.6.40; 2016-02-28T08:17:29.318Z
83.42.6.40; 2016-02-28T08:17:30.258Z
83.42.6.40; 2016-02-28T08:17:30.449Z
83.42.6.40; 2016-02-28T08:17:31.202Z
83.42.6.40; 2016-02-28T08:17:32.076Z
83.42.6.40; 2016-02-28T08:17:32.212Z
83.42.6.40; 2016-02-28T08:17:33.071Z
83.42.6.40; 2016-02-28T08:17:33.989Z
83.42.6.40; 2016-02-28T08:17:34.443Z
83.42.6.40; 2016-02-28T08:17:34.909Z
83.42.6.40; 2016-02-28T08:17:35.767Z
83.42.6.40; 2016-02-28T08:17:36.681Z
83.42.6.40; 2016-02-28T08:17:37.114Z
83.42.6.40; 2016-02-28T08:17:37.643Z
83.42.6.40; 2016-02-28T08:17:38.680Z
83.42.6.40; 2016-02-28T08:17:38.776Z
83.42.6.40; 2016-02-28T08:17:39.592Z
83.42.6.40; 2016-02-28T08:17:40.541Z
83.42.6.40; 2016-02-28T08:17:40.550Z
83.42.6.40; 2016-02-28T08:17:41.455Z
83.42.6.40; 2016-02-28T08:17:42.252Z
83.42.6.40; 2016-02-28T08:17:42.510Z
83.42.6.40; 2016-02-28T08:17:43.624Z
83.42.6.40; 2016-02-28T08:17:44.458Z
83.42.6.40; 2016-02-28T08:17:44.590Z
83.42.6.40; 2016-02-28T08:17:45.764Z
83.42.6.40; 2016-02-28T08:17:46.372Z
83.42.6.40; 2016-02-28T08:17:46.709Z
83.42.6.40; 2016-02-28T08:17:47.656Z
83.42.6.40; 2016-02-28T08:17:48.664Z
83.42.6.40; 2016-02-28T08:17:48.909Z
83.42.6.40; 2016-02-28T08:17:49.668Z
83.42.6.40; 2016-02-28T08:17:50.680Z
83.42.6.40; 2016-02-28T08:17:51.308Z
83.42.6.40; 2016-02-28T08:17:51.626Z
83.42.6.40; 2016-02-28T08:17:52.631Z
83.42.6.40; 2016-02-28T08:17:53.530Z
83.42.6.40; 2016-02-28T08:17:53.586Z
83.42.6.40; 2016-02-28T08:17:54.641Z
83.42.6.40; 2016-02-28T08:17:55.654Z
83.42.6.40; 2016-02-28T08:17:55.746Z
83.42.6.40; 2016-02-28T08:17:56.658Z
83.42.6.40; 2016-02-28T08:17:57.827Z
83.42.6.40; 2016-02-28T08:17:57.953Z
83.42.6.40; 2016-02-28T08:17:58.820Z
83.42.6.40; 2016-02-28T08:17:59.970Z
83.42.6.40; 2016-02-28T08:18:00.088Z
83.42.6.40; 2016-02-28T08:18:01.020Z
83.42.6.40; 2016-02-28T08:18:01.936Z
83.42.6.40; 2016-02-28T08:18:02.030Z
83.42.6.40; 2016-02-28T08:18:03.056Z
83.42.6.40; 2016-02-28T08:18:03.932Z
83.42.6.40; 2016-02-28T08:18:04.860Z
83.42.6.40; 2016-02-28T08:18:04.997Z
83.42.6.40; 2016-02-28T08:18:06.066Z
83.42.6.40; 2016-02-28T08:18:06.725Z
83.42.6.40; 2016-02-28T08:18:07.056Z
83.42.6.40; 2016-02-28T08:18:08.010Z
83.42.6.40; 2016-02-28T08:18:08.833Z
83.42.6.40; 2016-02-28T08:18:09.021Z
83.42.6.40; 2016-02-28T08:18:09.961Z
83.42.6.40; 2016-02-28T08:18:10.791Z
83.42.6.40; 2016-02-28T08:18:11.083Z
83.42.6.40; 2016-02-28T08:18:12.093Z
83.42.6.40; 2016-02-28T08:18:12.766Z
83.42.6.40; 2016-02-28T08:18:13.123Z
83.42.6.40; 2016-02-28T08:18:14.242Z
83.42.6.40; 2016-02-28T08:18:15.140Z
83.42.6.40; 2016-02-28T08:18:15.264Z
83.42.6.40; 2016-02-28T08:18:16.279Z
83.42.6.40; 2016-02-28T08:18:17.039Z
83.42.6.40; 2016-02-28T08:18:17.228Z
83.42.6.40; 2016-02-28T08:18:18.245Z
83.42.6.40; 2016-02-28T08:18:18.901Z
83.42.6.40; 2016-02-28T08:18:19.311Z
83.42.6.40; 2016-02-28T08:18:20.368Z
83.42.6.40; 2016-02-28T08:18:21.151Z
83.42.6.40; 2016-02-28T08:18:21.292Z
83.42.6.40; 2016-02-28T08:18:22.504Z
83.42.6.40; 2016-02-28T08:18:23.088Z
83.42.6.40; 2016-02-28T08:18:23.625Z
83.42.6.40; 2016-02-28T08:18:24.607Z
83.42.6.40; 2016-02-28T08:18:25.118Z
83.42.6.40; 2016-02-28T08:18:25.685Z
83.42.6.40; 2016-02-28T08:18:26.958Z
83.42.6.40; 2016-02-28T08:18:27.125Z
83.42.6.40; 2016-02-28T08:18:27.936Z
83.42.6.40; 2016-02-28T08:18:28.971Z
83.42.6.40; 2016-02-28T08:18:29.346Z
83.42.6.40; 2016-02-28T08:18:29.979Z
83.42.6.40; 2016-02-28T08:18:30.934Z
83.42.6.40; 2016-02-28T08:18:31.883Z
83.42.6.40; 2016-02-28T08:18:32.031Z
83.42.6.40; 2016-02-28T08:18:33.202Z
83.42.6.40; 2016-02-28T08:18:34.281Z
83.42.6.40; 2016-02-28T08:18:34.508Z
83.42.6.40; 2016-02-28T08:18:35.255Z
83.42.6.40; 2016-02-28T08:18:36.425Z
83.42.6.40; 2016-02-28T08:18:37.416Z
83.42.6.40; 2016-02-28T08:18:37.730Z
83.42.6.40; 2016-02-28T08:18:38.521Z
83.42.6.40; 2016-02-28T08:18:39.687Z
83.42.6.40; 2016-02-28T08:18:39.796Z
83.42.6.40; 2016-02-28T08:18:40.869Z
83.42.6.40; 2016-02-28T08:18:41.928Z
83.42.6.40; 2016-02-28T08:18:42.347Z
83.42.6.40; 2016-02-28T08:18:42.980Z
83.42.6.40; 2016-02-28T08:18:44.010Z
83.42.6.40; 2016-02-28T08:18:44.628Z
83.42.6.40; 2016-02-28T08:18:45.161Z
83.42.6.40; 2016-02-28T08:18:46.173Z
83.42.6.40; 2016-02-28T08:18:47.237Z
83.42.6.40; 2016-02-28T08:18:47.357Z
83.42.6.40; 2016-02-28T08:18:48.478Z
83.42.6.40; 2016-02-28T08:18:49.464Z
83.42.6.40; 2016-02-28T08:18:50.063Z
83.42.6.40; 2016-02-28T08:18:50.731Z
83.42.6.40; 2016-02-28T08:18:51.819Z
83.42.6.40; 2016-02-28T08:18:52.536Z
83.42.6.40; 2016-02-28T08:18:52.867Z
83.42.6.40; 2016-02-28T08:18:54.057Z
83.42.6.40; 2016-02-28T08:18:55.202Z
83.42.6.40; 2016-02-28T08:18:56.235Z
