combo,puts
c8ffdbdb3f4bec623628a042f369be2d, 611
b3e6e82bfe434d6187e7979ac6dad77d, 589
4e11c77eb5ab9135aac9ca2b77d1004e, 550
379353115b095d62a543c1284f104927, 543
7eeae5852f865cb2b6a883e1ed2e2764, 519
d4d8bae86fcb6575d0a3817efeb14b49, 486
92bc0440730fffee806d18e5425aecd6, 483
243d9741c7eed43b1e2952adbb449989, 478
6e8b6d60e8372982457d2806ba6a49d8, 441
a039fdd4504ee39b8e2eab72f1b2e00d, 439
f905383ff01b3a91b73aa623ddda6279, 419
3919d2286ebbf3aa5568b03513df7c50, 373
19de440e13bfa4171f7029756d57c24a, 367
158de64a2b655d5fe3934f46015b2d68, 359
961dbb7eb7aad490274ac41a691c1369, 358
8e4baa084ef95e29ed861cad3e72e089, 341
562ef6e0ffaf1b5a2e69089b1af537a1, 328
baa29a0082d5a3983142408d67f3534f, 311
e9ed54f66ff18c76cf8a6e3f4730135f, 311
43d25a9701a9ec649121bd30f49ee498, 287
0c0a8c390719e9f5e0bc62eb3d8805aa, 285
94ccc0b84abe06b58669d26e51a59bd6, 264
d349c1a9c94ccbf584ae62eb7e42ef1c, 251
cc1881d595437599040a3278dc28cb9e, 251
b6556e30dc56e0fe56e4499ae0ab055f, 251
b4021785f276eccae5d442fd3779d5f6, 249
6de35ea619ce5f314044e8815f61ba36, 247
ef4c91746e3b8a1133a14168b81c25f4, 244
b03754b434c1a2dcc2284a93333b352a, 238
2e6829acd89743dd3490068ffaaa48a4, 237
152e87d04ea1c876b502afd00bda0e50, 237
98f4be2e795911152b43f89d3a35e189, 227
91b9bbb7f0ae93f4bcc9ab7c7e9078f2, 218
86bfab62a725b94840d8ffcb3054937f, 216
b5316aabc56f299159344d37d1da887d, 211
1a7727f8b28ac1adbb568813ceb58666, 208
c23c7f8074acda6c77741b4472305310, 208
049e5ddef51377aaf5e4357da76f5181, 206
9dde55957cad653258ca5e26e57a8dd3, 196
1f4cdf8f5c55a6cd151e3b96ebf1c636, 193
e987ccd44b7972cf0faea159583a85f8, 191
b92cb787ddf9cd08d1c022dfd84747b6, 189
3b1eae500acf69ee1356c8a8f11f2db7, 188
4e0d75d88c9619bf92baaec595b60e2b, 188
099df3dcfb2fc38fe41ee76deedd5333, 187
9202e4ef065c5668e895d30ba702bda8, 185
8174de68588cfba02189eb90d1d64339, 181
e6619fdfd5d4d701314d623705fca2ac, 179
17990ec98ca1e444cc4d646230c4f6bf, 179
fdb6cdc76b71859690dba43ff33060de, 179
68a10ae7a1072d6001691a5e3480ebd7, 169
20bc743fb9c46020f889e037fe542b7e, 166
3b25600dc75ebd9c051859d59ca4ced4, 166
f2328c688d293717a452c6b404e4a9a5, 165
34d7313c7a4030b68c7b0df3c1444b68, 165
6c7b749b6dcbc379f29bb5b91b452d60, 161
2d353916178d9d1eefb318832eca82f0, 161
fa4fa3e065a4e81aa8174c0416a051df, 160
d0a12d05ec1c99ce706ea112d1cf03e0, 158
8b50abcf2c4cec49e39f6de099540f61, 158
9c0666cbe4bc4c7c89f3fa7fa34baf39, 157
2d247c940da4886839828d0ce62faa51, 154
a5f2cbaa80940439b3acd6c56296343f, 153
df2c01d8f3b2f2682e54647f4e040476, 153
d221b07d6f330952e70e476d6cf8291a, 152
e6a4b8cafa919913adecac59317ebff5, 150
e870875cfe838ba6e3095eb7310e1b7f, 146
a62318eaad416b297947ab0fe2b2564d, 139
