IP,puts
d6a4918dfcc6435748aa3a77f7f313d8, 72179
c639b20af23be12e617fa1ac4a84bff9, 44758
e4262d77843e70d187757441548d4136, 42790
dd16eb9ade332da9519a03891c11844c, 23041
c114003755f2763c539e032a46eb63e7, 19320
7675a276055e76aacc2b15b1d1c7a49d, 5481
eff47982f728945625a49cfc38cabfba, 3941
c8a111bf46515dca2c51e66d31d1a373, 3893
59d62f6c405a5f6ae19ae64b812db2a6, 3866
de10791cb42817f64ea715ea10e83aaa, 2585
3bb2852e40c0fd52e0313b68d2182c2e, 2525
3f94957efddac98fcba4b9d7f98552e3, 2394
b3c7e8f03da47734e019d189748fa192, 2385
8a538e465f27496644beae10a9ba7294, 2082
9b5b9de0f73fe5e36680fe288b44c44d, 2065
94fa2601c5e86b2b3e3e05595bc6fb31, 1988
3554af246323fd09cb932617f5e41296, 1595
1208effa1728b9a875f6ea7d6f0bbe08, 1569
c7091091d0dbd68afef5e76643cdaddd, 1542
097edaa1bda27c4ff8758ee091c812b3, 1530
184cd9cbc32e0ba2a0d1cef3287e6e75, 1474
9b8fd62f2b8285b72c799c35c0739b20, 1365
1659980ca3425375687c433ce02f890a, 1054
c35fa704264fcbcab7f8057d069eaee7, 1021
b9977aa187cfdb4372d98b22ba655eb4, 1018
71418c625339b165bc9293ed807ade4f, 1006
063018ececafe196600a914108dfb3ed, 998
523c1d46fbd48f3011a215f464be4fda, 981
29ac1192dcd5473377fb025d3c084913, 913
a4ba86cdef0ab2ddaf1f0670aa5e9019, 907
f97579df363d3d36cc4ec450eae67420, 869
7e68859f5eb391b335e7c85ae1b033f3, 864
be18677723ce588ba62f6bdbc90eaff3, 818
d1cd8ee9df320ceb8c831f2dd913b02c, 765
32383ce3096b9bbf2c7023f4fc104362, 762
b713338c763fc29a5af8c853804797dd, 680
c0c1dd70639544f8c6b6efd71e2540b2, 673
702012919a66c7572219027523c9b130, 646
0d0504843987c0dbb8230bda5943d99e, 638
b3938628c3e3aa3ef893380d0d46d203, 564
cfde424a1fd268363cdc4aaf053095c2, 548
f1200f9a7db94842f726d20213fd416f, 486
bd0c1a00e2a50dd36ae985d646036b33, 457
24e3ba4d747ff59f8ed87530fdd17fdf, 431
bfc7b1ac9824e1e8ce146b3b240f2aa5, 427
480db8e4523093ec252a830d01a7d12a, 402
ab9beaa69d90bf0e99192f851ad91353, 396
781903f43918e22fffdf3603801086c9, 386
6027ab9c4f6343f05ef7d44ef210065e, 379
60199291f632e2ee5c6eec8c7e94d257, 366
38e8c1ef991b60703016c7ed1714d206, 363
04b1b748bfff90506880521e57c7277a, 355
84b4e7e9bd9b7c2426b93d93334c9cc4, 342
710d26cb4a3ba9ae4fca2371f50e3e57, 335
f352f03ef90fa156fcd18e6761819e78, 329
90c9ba917eb18643f13f363353f0c546, 321
949c75d713779cbeed793aecba6e0c92, 308
a4db54a444cd148c627b20b776d8067d, 297
9894901a2f12ec89dff0c6541dd9a984, 287
85182c1dbc608b699d053083f6410bfe, 278
6fac68c347a5c2b5b1a79d6b4a90076b, 264
ceaf862712154fa44f1067b253847dea, 264
49798df9cbee329dd74f74eba3e5bca1, 255
91291a404bb3c7b0fa0f088b65a4b221, 252
04bfd80eb1f79ee169f5f47b2f200c71, 238
db2c320dd59d7cb2ecb8efe45a3891d8, 238
f0cf6c33448be7ea7c1fd9d10baf8f94, 214
5d1e5402a1d40a5f2bb8cc6ff7df9bbd, 210
7400de26673248318d13aebd4e597f75, 209
807e6aba07e64a771b37caab3ea42162, 207
f90a4bdbec2e9f2355fcb3a0985ebead, 198
e0af3b7c6429b266d633de268ac73f9b, 180
ed030f2e7b9ccdafc80aca140695874f, 176
c9f60fdb614fc17024deae4aed2b5d45, 163
8c166a7fa784e4e67f9539a169d59d06, 153
30132cfd9b309c1ad5c9b877a14219c7, 143
38a2acc3663c8d63a9eeef6b1a501a18, 132
a579e7672204bc0e30718e82baf789b4, 125
cb341109288049d17c5006abeb6a2ceb, 124
4e6179501f03644e5a1bf97a0d16dcb8, 124
af1ea62938afe1a25e023f1c6aca63fe, 123
3caa4c094775a4baa37f4a9358dbe782, 121
4ce87e2e2704b57111e07cf14164921a, 121
28c4963a683570e2d674fc548ded0604, 117
10ef506700e394b12e2c270ba1b88fa3, 116
f3ab9d468e013aa41d94776bbd6844ad, 112
103a0f0b76a1e99edf61c944c4ab9cda, 111
1bb1b7b42b6e73f671da288a25441dbc, 107
87f2cf63866b1bfb64722db991858c7f, 104
37a7592755b752669ba409ad73e6e5a7, 102
7fe22dece20757a5a2a7b4bea10a66f0, 102
3fbeb210ea08b1c2edc0bf7c8c3063f8, 100
72afc089204c00a005564f44a59f7834, 99
83526843df08ca2c05d937233bcefb41, 94
