"159.147.248.229; 2016-03-02T06:40:07.418Z; 1; true"
"31.4.217.224; 2016-03-02T06:48:40.663Z; 2; true"
"31.4.217.224; 2016-03-02T06:48:43.929Z; 2; true"
"31.4.217.224; 2016-03-02T06:48:47.081Z; 2; false"
"31.4.217.224; 2016-03-02T06:48:50.523Z; 2; false"
"31.4.217.224; 2016-03-02T06:48:55.108Z; 2; false"
"31.4.217.224; 2016-03-02T06:49:00.612Z; 2; false"
"31.4.217.224; 2016-03-02T06:49:05.967Z; 2; false"
"217.217.49.171; 2016-03-02T06:56:19.118Z; 3; true"
"217.217.49.171; 2016-03-02T06:56:25.946Z; 4; true"
"217.217.49.171; 2016-03-02T06:56:33.335Z; 5; true"
"217.217.49.171; 2016-03-02T06:56:41.821Z; 5; false"
"81.37.16.183; 2016-03-02T06:57:13.959Z; 6; true"
"81.37.16.183; 2016-03-02T06:57:14.806Z; 7; true"
"81.37.16.183; 2016-03-02T06:57:15.641Z; 8; true"
"81.37.16.183; 2016-03-02T06:57:16.472Z; 9; true"
"81.37.16.183; 2016-03-02T06:57:17.307Z; 9; false"
"81.37.16.183; 2016-03-02T06:57:18.147Z; 9; false"
"81.37.16.183; 2016-03-02T06:57:18.946Z; 10; true"
"194.230.155.238; 2016-03-02T06:57:32.454Z; 1; true"
"194.230.155.238; 2016-03-02T06:57:36.148Z; 2; true"
"194.230.155.238; 2016-03-02T06:57:40.329Z; 3; true"
"194.230.155.238; 2016-03-02T06:57:46.563Z; 3; false"
"194.230.155.238; 2016-03-02T06:57:51.903Z; 3; false"
"194.230.155.238; 2016-03-02T06:57:54.429Z; 3; false"
"81.37.16.183; 2016-03-02T06:58:35.793Z; 4; true"
"81.37.16.183; 2016-03-02T06:58:38.369Z; 5; true"
"81.37.16.183; 2016-03-02T06:58:39.203Z; 6; true"
"81.37.16.183; 2016-03-02T06:58:40.042Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:40.872Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:41.750Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:44.094Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:45.366Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:46.646Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:47.945Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:49.243Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:50.552Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:51.859Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:53.222Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:54.710Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:56.203Z; 6; false"
"81.37.16.183; 2016-03-02T06:58:57.746Z; 7; true"
"81.37.16.183; 2016-03-02T06:58:59.236Z; 8; true"
"81.37.16.183; 2016-03-02T06:59:00.736Z; 8; false"
"81.37.16.183; 2016-03-02T06:59:02.222Z; 8; false"
"81.37.16.183; 2016-03-02T06:59:03.737Z; 9; true"
"81.37.16.183; 2016-03-02T06:59:05.220Z; 10; true"
"81.37.16.183; 2016-03-02T06:59:07.143Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:08.351Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:09.521Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:10.952Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:12.488Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:13.986Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:15.573Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:17.122Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:18.656Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:20.178Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:21.806Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:23.463Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:24.748Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:26.067Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:27.649Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:29.200Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:30.794Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:32.123Z; 10; false"
"194.230.155.238; 2016-03-02T06:59:32.172Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:33.569Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:35.111Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:36.737Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:38.325Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:39.888Z; 10; false"
"81.37.16.183; 2016-03-02T06:59:41.541Z; 10; false"
