IP;interval
10.105.142.114;12
10.105.142.114;2
10.105.142.114;12
10.105.142.114;2
10.104.128.71;2
10.104.128.71;1
10.104.128.71;3
10.104.128.71;1
10.76.150.87;1
10.76.150.87;29
10.76.150.87;2
10.76.150.87;0
10.76.150.87;1
10.76.150.87;2
10.76.150.87;1
10.76.150.87;1
10.76.150.87;1
10.76.150.87;1
10.76.150.87;2
10.33.138.79;35
10.33.138.79;2
10.33.138.79;2
10.33.138.79;3
10.33.138.79;2
10.33.138.79;11
10.33.138.79;2
10.36.133.87;2
10.36.133.87;2
10.36.133.87;2
10.36.133.87;3
10.36.133.87;3
10.36.133.87;2
10.36.133.87;2
10.36.133.87;3
10.36.133.87;9
10.36.133.87;2
10.33.136.8;18
10.33.136.8;1
10.33.136.8;1
10.33.136.8;1
10.33.136.8;2
10.33.136.8;50
10.33.136.8;2
10.33.136.8;6
10.33.136.8;2
10.33.136.8;1
10.33.136.8;2
10.33.136.8;2
10.33.136.8;2
10.33.136.8;1
10.33.136.8;2
10.33.136.8;12
10.208.66.200;1
10.208.66.200;5
10.208.66.200;20
10.208.66.200;89
10.208.66.200;46
10.208.66.200;5
10.208.66.200;8
10.208.66.200;67
10.208.66.200;20
10.208.66.200;9
10.208.64.120;1
10.208.64.120;1
10.208.64.120;2
10.208.64.120;7
10.208.64.120;5
10.208.64.120;2
10.84.0.117;677
10.84.0.117;6
10.84.0.117;29
10.84.0.117;5
10.36.201.181;20
10.87.14.210;155
10.87.14.210;1
10.87.14.210;256
10.87.14.210;6
10.208.66.200;1105
10.208.66.200;2
10.208.66.200;1
10.208.66.200;1
10.83.1.214;19
10.97.2.106;18
10.97.2.106;9
10.97.2.106;1
10.97.2.106;3
10.97.2.106;3
10.97.2.106;5
10.97.2.106;9
10.104.128.246;27
10.104.128.246;10
10.104.128.246;4
10.104.128.246;5
10.104.128.246;4
10.104.128.246;6
10.104.128.246;5
10.104.128.246;5
10.104.128.246;6
10.104.128.246;16
10.104.128.246;2
10.104.128.246;3
10.104.128.246;1
10.104.128.246;2
10.104.128.246;3
10.104.128.246;2
10.104.128.246;3
10.104.128.246;2
10.35.132.102;1
10.35.132.102;0
10.35.132.102;1
10.35.132.102;2
10.35.132.102;1
10.35.132.102;1
10.35.132.102;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;2
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;2
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;3
10.105.142.114;2
10.105.142.114;4
10.105.142.114;3
10.105.142.114;2
10.105.142.114;3
10.105.142.114;2
10.105.142.114;79
10.105.142.114;1
10.105.142.114;2
10.105.142.114;2
10.105.142.114;1
10.105.142.114;2
10.105.142.114;2
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;1
10.105.142.114;3
10.36.138.222;1
10.36.138.222;0
10.36.138.222;3
10.36.138.222;3
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;2
10.36.138.222;0
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;0
10.36.138.222;3
10.36.138.222;1
10.36.138.222;1
10.36.138.222;2
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;0
10.36.138.222;1
10.36.138.222;1
10.36.138.222;3
10.36.138.222;0
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;2
10.36.138.222;1
10.36.138.222;3
10.36.138.222;1
10.36.138.222;1
10.36.138.222;0
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;1
10.36.138.222;43
10.36.138.222;15
10.36.138.222;3
10.36.138.222;2
10.36.138.222;15
10.36.138.222;3
10.36.138.222;4
10.36.138.222;3
10.36.138.222;4
10.36.138.222;3
10.36.138.222;3
10.36.138.222;4
10.36.138.222;3
10.36.138.222;3
10.36.138.222;3
10.36.138.222;3
10.36.138.222;9
10.36.138.222;6
10.36.138.222;4
10.36.138.222;4
10.36.138.222;3
10.36.138.222;3
10.249.46.168;4
10.249.46.168;3
10.249.46.168;3
10.249.46.168;2
10.249.46.168;3
10.249.46.168;3
10.249.46.168;3
10.249.46.168;4
10.249.46.168;8
10.210.132.218;3
10.76.150.87;9
10.84.9.149;1
10.84.9.149;3
